segment,计数
服务,6820
入住,3726
管家,3191
房间,3031
世界,2735
孩子,2030
不错,2011
亚特兰蒂斯,1929
体验,1795
特别,1789
早餐,1754
贴心,1740
水族馆,1599
下次,1209
设施,1184
三亚,1043
环境,1011
感觉,1003
小朋友,988
开心,973
真的,942
感谢,866
热情,855
适合,845
项目,810
前台,795
餐厅,790
时间,787
满意,777
喜欢,756
退房,736
周到,726
安排,691
亲子,630
干净,630
办理,622
升级,615
泳池,604
接待,587
水上,585
客房,565
卫生,564
超级,556
还会,553
游玩,548
选择,529
皇家,528
期间,508
很棒,500
值得,494
小姐姐,493
俱乐部,492
人员,488
客人,479
工作人员,476
推荐,470
免费,467
水果,461
排队,458
下午茶,453
乐园,449
帮忙,447
到位,433
晚上,430
亚特,420
服务员,418
礼物,409
Davis,401
打扫,401
介绍,394
大堂,390
海景,384
价格,382
整体,377
细心,374
无限,367
提供,366
提前,360
解决,351
全程,348
小孩,347
活动,346
好玩,346
度假,338
疫情,335
建议,332
服务态度,331
地方,330
行李,329
主动,326
两个,323
套房,316
耐心,311
五星,309
微信,303
很大,296
楼层,295
海棠,295
还给,294
宾客,293
好评,287
玩水,276
提醒,275
ina,275
服务周到,275
特别感谢,274
感受,272
延迟,270
旅行,269
谢谢,268
细致,267
人太多,265
第一次,264
两天,263
主管,263
总体,263
愉快,262
态度,259
房型,258
一点,258
硬件,256
舒服,250
客服,250
不用,244
希望,243
表演,243
非常感谢,243
人多,243
第二天,237
星级,232
舒适,230
沙滩,229
需求,228
丰盛,228
小时,227
热情周到,226
完美,225
齐全,223
点赞,222
打卡,218
宝宝,217
海景房,216
住店,216
配套,215
娱乐,211
专业,210
酒店设施,209
确实,209
自助,207
赠送,207
性价比,205
经理,205
下午,200
东西,197
几天,192
期待,191
家庭,190
负责,189
朋友,189
Ryan,189
儿童,189
晚餐,188
味道,188
机会,188
行程,187
关系,186
询问,185
品种,182
免税店,180
电话,180
海底,179
回复,179
套餐,179
阳台,179
很快,177
种类,176
餐饮,176
位置,174
表扬,173
细节,170
nice,169
携程,169
享受,169
告知,168
48,168
出行,168
唯一,166
迷你,166
游乐,165
发现,165
好吃,165
一流,165
风景,162
不好,162
惊喜,162
第二次,161
大人,160
热心,160
只能,159
信息,158
带娃,156
用餐,154
照顾,154
管理,154
一家,154
离店,153
礼宾,151
第一,150
景色,150
两晚,150
有求必应,149
预定,145
Mia,145
温馨,144
有问必答,142
实在,141
情况,141
房卡,139
三天,139
整洁,138
门票,138
回来,137
每次,137
假期,136
电梯,136
刺激,135
非常适合,134
自助餐,134
10,134
本来,134
网红,133
打电话,132
Eileen,132
豪华,130
特意,130
专属,129
玩得,129
一晚,127
当天,127
早上,126
饮料,126
Sally,124
Alisa,123
首选,123
浴袍,123
解答,123
小孩子,122
用心,122
Ron,122
玩儿,122
详细,121
宾至如归,120
海滩,120
春节,120
贵宾,120
体贴,118
哥哥,118
更好,118
五星级,117
住宿,116
家人,116
游客,116
告诉,114
美女,114
失望,114
不想,113
天气,113
游泳池,113
服务到位,112
拍照,112
品质,112
这家,111
门口,111
装修,111
吃饭,110
申请,110
还会来,110
出游,109
预约,109
毛巾,108
包含,108
送到,107
视野,107
分钟,107
漂流,107
停车场,107
海洋馆,107
遗憾,107
交通,106
生日,106
第一天,105
事情,105
旅游,105
漂亮,104
开放,104
Betty,103
好多,102
温暖,102
离开,102
时光,101
布置,101
cherry,101
海边,100
更是,99
嘈杂,99
12,99
Leif,99
评价,98
原因,98
美好,98
芒果,97
菜品,97
影响,97
无敌,96
攻略,96
holly,96
景观,96
乔宇,96
机场,96
标准,95
拖鞋,95
旺季,94
给予,94
不到,94
可惜,94
礼遇,94
很赞,93
还好,93
来到,93
用品,93
行政,93
可爱,93
几个,93
海南,93
动物,92
Terry,92
真心,91
一对一,91
没什么,91
收费,91
购物,91
18,90
Nada,90
蛋糕,90
住客,90
印象,90
补充,90
亲切,89
这是,89
提示,89
很漂亮,88
空间,88
沟通,88
老人,88
客户,86
关心,86
旁边,86
欢乐,86
送来,86
缺点,86
工作,85
阿姨,85
旅程,85
私人,84
空调,84
楼下,84
找到,84
11,83
肯定,83
休息,83
两次,83
包括,82
员工,82
赶上,82
安静,82
问候,82
咨询,81
至尊,81
环境优美,81
Tara,81
特色,81
有人,81
不愧,79
合适,79
皇冠,79
预订,79
白鲸,79
淡季,78
设计,78
暑假,78
棒棒,78
不太,78
Isabel,77
隔壁,77
礼品,77
解决问题,76
恒温,76
进出,76
收拾,76
手续,76
美食,75
Cherry,75
一位,75
各项,75
快速,75
迪拜,74
友好,74
小哥,74
游泳,74
小林,74
七星,74
